(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
3398,2,3,0,0,8,31,0,1,1,0,3879,6,3,4,0,4,4,1,3,55,90,3179,19,8,4,11,91,17,7,9,26,35,3394,2,58,6,32,36,28,3,60,1,0,3133,0,16,15,2,164,18,35,1,72,13,2931,38,5,12,38,37,21,3,0,4,25,3353,2,3,0,3,99,15,1,13,0,2,3475,0,60,28,72,14,100,16,81,26,17,2970,62,18,32,10,32,60,8,7,92,10,3221
3402,2,2,0,3,10,22,2,1,0,0,3875,8,3,5,1,2,5,2,3,36,106,3173,14,10,6,16,83,28,9,7,49,27,3401,3,35,8,44,19,33,3,68,0,0,3161,2,13,11,1,135,18,21,2,89,15,2926,50,6,7,29,38,14,6,1,8,21,3359,1,0,0,4,102,16,0,19,0,1,3473,1,52,26,84,17,115,23,100,27,23,2905,66,20,28,4,49,76,13,2,100,9,3189
3391,3,1,1,0,13,28,3,4,0,0,3881,9,2,3,0,2,2,2,3,49,105,3157,25,8,10,19,76,21,11,6,48,36,3377,3,42,7,44,32,31,0,65,1,0,3144,1,24,11,1,147,14,30,0,95,8,2928,39,4,11,34,28,20,1,0,3,19,3373,1,3,0,2,79,9,0,13,7,1,3478,1,78,25,70,10,112,23,105,29,14,2950,48,14,20,6,39,49,8,8,80,9,3257
3393,3,3,2,0,11,26,1,2,3,1,3879,7,3,2,0,4,5,2,1,44,106,3165,14,5,9,14,87,25,12,8,31,32,3402,1,54,7,33,35,23,3,61,3,0,3115,0,31,11,2,168,15,29,0,90,6,2927,58,4,7,27,25,16,3,0,9,33,3361,0,1,0,4,99,13,1,15,1,1,3467,0,67,17,92,7,115,20,103,24,20,2918,70,25,26,3,41,59,10,2,106,11,3207
3407,1,2,1,1,9,19,1,2,1,0,3872,11,2,4,0,7,4,1,3,46,105,3165,16,2,12,12,98,18,7,9,31,39,3378,3,49,8,33,45,31,6,69,4,0,3159,0,21,5,0,130,16,17,2,99,4,2939,48,1,10,27,35,13,6,0,4,22,3365,0,3,0,6,93,7,1,22,2,0,3472,0,65,20,72,14,101,24,102,26,23,2947,57,20,21,9,38,49,12,2,109,6,3224
3398,3,2,2,0,10,22,1,5,1,0,3877,11,2,4,0,6,3,0,1,42,95,3196,16,13,3,12,80,19,5,5,42,34,3412,3,40,2,34,27,27,4,60,1,1,3163,2,16,12,2,133,21,31,1,98,18,2895,44,4,7,44,49,7,1,0,6,13,3370,0,2,0,5,97,7,0,16,2,1,3479,1,60,15,83,14,108,23,80,31,20,2944,68,21,31,6,41,65,11,3,105,10,3197
(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
3394,2,3,0,0,10,33,0,1,1,0,3879,6,3,4,0,4,4,1,3,57,90,3176,20,8,4,11,91,18,6,10,26,33,3392,3,59,6,30,37,30,3,60,2,0,3137,0,16,15,2,159,17,36,1,76,13,2930,35,6,11,38,37,19,3,0,4,25,3355,2,3,0,3,103,13,1,12,0,2,3472,0,62,27,71,15,101,18,82,26,19,2964,63,18,33,10,33,62,8,7,93,9,3217
3402,2,3,0,2,9,24,2,0,0,0,3875,8,3,4,1,2,5,2,4,38,102,3177,14,11,6,17,81,26,9,7,48,27,3401,3,35,8,44,21,32,4,68,0,0,3154,2,14,11,1,140,18,21,2,87,12,2931,51,5,6,30,42,14,4,1,8,20,3358,1,0,0,4,101,16,0,23,0,1,3470,1,52,26,85,16,117,27,104,25,24,2895,67,20,30,4,49,77,14,2,99,8,3187
