(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
3401,2,1,1,0,6,28,2,2,1,0,3880,7,1,3,0,5,5,1,2,40,53,3264,13,6,1,10,69,19,6,9,15,36,3420,0,63,2,20,34,27,2,40,2,0,3208,0,15,10,1,116,20,21,4,75,9,2953,39,8,9,25,30,15,4,0,6,32,3358,1,2,0,2,76,16,2,20,1,1,3496,0,54,19,47,14,84,20,75,24,12,3052,39,16,26,8,29,84,5,8,82,10,3222
3413,1,6,0,0,6,14,1,2,1,0,3877,7,3,3,0,2,5,1,6,30,58,3263,14,7,3,13,63,26,4,6,36,32,3420,2,33,6,40,27,24,3,44,0,0,3228,1,14,8,0,96,15,12,3,82,8,2977,37,3,7,19,36,9,6,0,5,17,3374,1,0,0,1,76,19,1,24,0,0,3502,1,44,27,51,15,98,19,98,21,24,2982,51,17,16,4,45,102,20,2,96,10,3178
3389,2,2,1,1,10,32,3,4,0,0,3876,10,4,2,0,2,3,2,5,34,55,3254,17,7,7,19,56,24,8,7,33,40,3422,2,42,2,25,31,22,0,42,1,0,3195,1,24,7,2,122,15,11,2,88,5,2971,40,4,8,19,21,14,1,0,4,16,3389,0,3,0,2,62,16,0,20,5,0,3507,0,56,15,40,13,94,21,102,28,9,3033,31,10,17,6,43,73,11,9,78,12,3231
3404,3,5,1,2,7,19,1,1,1,0,3876,7,2,3,0,4,5,2,5,39,57,3258,9,4,4,10,72,18,10,6,21,36,3409,1,53,3,31,48,18,4,41,3,0,3185,2,26,9,1,123,11,19,2,88,10,2953,53,2,8,17,25,16,3,0,7,25,3372,0,0,0,5,70,15,1,18,1,1,3507,1,49,11,61,17,110,15,90,22,18,2993,49,19,19,5,46,75,9,1,99,12,3205
3411,0,2,0,1,9,18,0,1,2,0,3867,12,3,7,0,7,4,1,3,35,64,3236,14,2,7,13,81,25,4,9,22,43,3397,4,45,7,27,48,24,3,47,5,0,3203,3,20,5,0,108,14,12,0,95,6,2968,38,2,9,19,39,8,6,0,6,16,3371,0,2,0,6,76,12,2,24,3,0,3485,0,60,15,51,16,84,22,105,21,20,3008,44,18,15,11,39,65,16,2,87,6,3231
3407,3,3,1,0,5,20,1,3,1,0,3874,12,2,6,0,5,2,1,2,32,59,3278,15,9,4,4,56,17,7,2,32,39,3436,2,39,3,21,34,18,3,38,0,1,3213,2,14,9,2,112,16,18,4,99,14,2933,39,4,6,30,42,5,1,0,8,11,3378,0,3,0,6,77,12,4,17,3,1,3503,0,45,12,45,19,88,24,82,27,18,3021,50,21,22,6,38,87,17,3,101,15,3180
