(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2048,0,1,0,0,2,10,2,2,1,0,2324,8,2,1,0,2,3,0,2,8,9,2016,3,2,1,4,39,6,1,1,9,15,2077,0,29,2,9,30,4,2,14,0,0,1962,0,8,8,0,42,2,2,1,35,4,1818,22,0,2,12,7,1,0,0,2,7,2051,0,1,0,0,24,9,3,5,0,0,2134,0,26,6,7,5,25,7,24,12,2,1932,12,7,10,2,13,30,9,2,35,7,1979
2049,1,1,0,1,4,9,0,1,0,1,2325,7,2,1,0,0,2,1,3,11,7,2030,1,1,0,4,16,17,2,3,11,28,2048,1,32,3,10,27,13,2,7,2,0,1949,0,9,3,0,64,6,6,0,34,1,1823,19,2,2,5,10,7,1,0,4,9,2036,0,2,0,3,15,12,1,6,2,0,2139,0,23,3,16,9,31,5,29,7,11,1904,17,9,3,4,18,37,8,2,19,6,1988
(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2048,0,1,0,0,2,10,2,2,1,0,2324,8,2,1,0,2,3,0,2,8,9,2016,3,2,1,4,39,6,1,1,9,15,2077,0,29,2,9,30,4,2,14,0,0,1962,0,8,8,0,42,2,2,1,35,4,1818,22,0,2,12,7,1,0,0,2,7,2051,0,1,0,0,24,9,3,5,0,0,2134,0,26,6,7,5,25,7,24,12,2,1932,12,7,10,2,13,30,9,2,35,7,1979
2049,1,1,0,1,4,9,0,1,0,1,2325,7,2,1,0,0,2,1,3,11,7,2030,1,1,0,4,16,17,2,3,11,28,2048,1,32,3,10,27,13,2,7,2,0,1949,0,9,3,0,64,6,6,0,34,1,1823,19,2,2,5,10,7,1,0,4,9,2036,0,2,0,3,15,12,1,6,2,0,2139,0,23,3,16,9,31,5,29,7,11,1904,17,9,3,4,18,37,8,2,19,6,1988
(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2048,0,1,0,0,2,10,2,2,1,0,2324,8,2,1,0,2,3,0,2,8,9,2016,3,2,1,4,39,6,1,1,9,15,2077,0,29,2,9,30,4,2,14,0,0,1962,0,8,8,0,42,2,2,1,35,4,1818,22,0,2,12,7,1,0,0,2,7,2051,0,1,0,0,24,9,3,5,0,0,2134,0,26,6,7,5,25,7,24,12,2,1932,12,7,10,2,13,30,9,2,35,7,1979
2049,1,1,0,1,4,9,0,1,0,1,2325,7,2,1,0,0,2,1,3,11,7,2030,1,1,0,4,16,17,2,3,11,28,2048,1,32,3,10,27,13,2,7,2,0,1949,0,9,3,0,64,6,6,0,34,1,1823,19,2,2,5,10,7,1,0,4,9,2036,0,2,0,3,15,12,1,6,2,0,2139,0,23,3,16,9,31,5,29,7,11,1904,17,9,3,4,18,37,8,2,19,6,1988
