(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
3645,1,5,0,2,25,31,1,7,2,0,4182,13,5,2,1,6,3,1,3,35,78,3439,16,18,13,24,71,54,12,8,58,48,3534,4,70,13,34,98,49,2,58,3,1,3359,2,29,6,4,201,26,23,1,129,12,3096,61,7,13,48,42,22,5,0,9,38,3603,2,3,0,3,102,17,1,19,9,1,3703,2,104,18,43,23,94,19,95,29,15,3233,88,21,31,18,44,114,14,2,92,22,3412
3634,1,1,1,0,16,56,2,4,4,0,4184,8,3,3,0,7,8,2,1,34,78,3434,19,19,10,40,71,44,11,9,40,46,3582,2,69,20,42,71,35,2,48,4,0,3340,3,49,14,1,204,23,23,0,86,9,3157,68,4,14,32,41,8,1,0,2,31,3638,0,1,2,5,103,22,4,24,2,2,3682,0,117,18,62,15,116,26,88,41,16,3223,52,15,28,11,49,103,11,9,96,20,3428
3646,0,5,0,2,15,42,2,7,0,0,4175,10,6,3,0,9,2,2,9,34,105,3394,24,12,5,34,90,46,16,7,46,52,3565,2,71,11,39,83,40,4,50,0,2,3294,1,37,10,1,266,18,22,2,105,12,3133,48,3,20,53,22,24,1,0,3,25,3645,1,3,0,3,101,18,5,18,6,4,3707,5,94,18,61,16,100,23,98,28,15,3252,46,17,22,6,53,68,10,9,96,20,3469
3649,1,7,1,0,10,43,1,6,1,0,4177,12,3,4,1,7,5,1,6,34,87,3448,22,11,3,26,82,40,7,10,58,44,3553,5,79,16,32,83,36,3,54,7,1,3363,2,38,10,3,184,29,37,6,148,12,3083,58,2,8,33,40,19,15,0,6,31,3609,0,4,0,7,117,18,3,27,5,0,3682,1,101,20,73,16,115,26,102,42,25,3174,64,22,33,19,40,103,20,8,80,16,3429
3651,1,8,0,2,11,40,3,3,0,0,4169,19,4,8,2,8,2,3,1,33,69,3463,25,6,6,31,73,44,10,9,41,52,3569,2,95,14,41,52,41,1,52,6,0,3364,2,41,8,0,191,19,22,6,83,13,3135,81,4,13,40,32,15,6,0,4,16,3648,0,3,0,5,94,23,1,20,1,2,3729,5,81,17,46,20,125,21,87,41,15,3236,49,20,29,12,49,119,14,3,86,15,3423
3634,0,3,4,1,21,45,1,8,2,0,4178,9,7,3,1,7,3,4,4,37,69,3447,24,6,10,20,86,48,13,4,57,46,3571,5,77,8,34,72,42,2,60,3,0,3302,0,32,11,8,247,18,23,4,95,12,3161,53,3,17,30,27,11,3,0,5,24,3648,0,6,0,3,95,17,2,23,2,1,3722,4,92,9,46,15,97,14,77,29,22,3278,70,11,24,7,50,89,11,6,89,18,3465
3633,1,6,2,1,18,45,2,7,4,0,4173,11,6,3,0,8,4,7,4,22,90,3423,21,11,7,30,78,65,13,8,54,44,3542,4,74,15,35,108,32,2,50,3,1,3321,4,36,15,1,232,26,15,4,142,8,3119,72,2,8,20,38,15,17,0,9,30,3614,0,1,0,7,125,19,1,21,2,2,3710,1,73,18,62,13,135,16,108,29,8,3208,60,24,39,15,44,85,25,5,115,14,3404
3638,2,4,1,5,26,38,1,2,2,0,4175,11,4,2,4,5,5,3,7,33,90,3410,21,16,16,29,87,45,13,6,50,45,3586,2,71,10,26,82,38,3,54,3,1,3349,3,34,11,1,206,11,30,2,90,12,3128,68,7,23,45,29,21,3,1,14,29,3621,1,2,3,5,114,20,1,15,5,0,3697,5,99,12,66,9,99,20,70,32,15,3263,71,17,36,9,44,103,13,6,96,16,3430
3641,0,2,2,1,23,39,5,5,1,0,4174,10,5,6,2,6,3,6,4,41,80,3434,30,12,9,28,77,42,7,13,53,44,3566,2,72,8,27,92,39,2,51,4,1,3349,3,36,15,2,202,15,26,1,105,8,3164,43,8,12,34,39,19,2,0,8,39,3616,0,1,0,5,106,17,1,17,1,1,3734,0,79,16,58,14,157,26,101,29,16,3177,63,17,32,8,50,114,13,7,123,21,3385
3641,1,5,1,0,13,44,1,7,6,0,4169,16,6,4,0,8,4,3,6,42,75,3462,18,8,6,19,81,44,5,6,44,46,3598,3,71,16,35,70,27,2,46,3,1,3386,2,31,8,3,183,19,28,4,102,6,3145,58,5,9,40,45,13,10,0,9,18,3627,0,2,0,7,117,20,2,22,6,0,3677,3,107,13,53,12,140,12,121,31,20,3195,60,16,33,9,50,116,13,3,105,27,3398
