(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2045,0,1,0,0,1,11,1,2,5,0,2324,8,1,1,0,1,3,0,4,10,9,2020,3,1,0,4,36,5,1,5,8,18,2083,0,24,2,9,23,4,2,11,0,0,1965,0,7,7,1,43,3,2,0,35,4,1819,21,0,3,11,7,0,0,0,2,6,2053,0,1,0,1,19,11,2,5,0,0,2142,1,20,9,8,9,34,7,21,8,4,1922,10,9,8,3,8,34,9,2,32,6,1983
2053,0,1,0,1,4,6,0,1,0,0,2327,6,1,1,0,0,3,1,3,11,5,2038,2,1,0,0,14,16,2,6,8,33,2045,0,32,2,10,29,11,2,7,0,0,1945,0,8,3,1,70,8,3,4,29,1,1825,17,2,6,3,12,4,1,1,4,9,2035,0,3,0,1,17,13,1,6,1,0,2139,0,23,4,16,8,32,7,27,7,9,1904,18,12,4,3,15,37,7,2,15,6,1993
(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2045,0,1,0,0,1,11,1,2,5,0,2324,8,1,1,0,1,3,0,4,10,9,2020,3,1,0,4,36,5,1,5,8,18,2083,0,24,2,9,23,4,2,11,0,0,1965,0,7,7,1,43,3,2,0,35,4,1819,21,0,3,11,7,0,0,0,2,6,2053,0,1,0,1,19,11,2,5,0,0,2142,1,20,9,8,9,34,7,21,8,4,1922,10,9,8,3,8,34,9,2,32,6,1983
2053,0,1,0,1,4,6,0,1,0,0,2327,6,1,1,0,0,3,1,3,11,5,2038,2,1,0,0,14,16,2,6,8,33,2045,0,32,2,10,29,11,2,7,0,0,1945,0,8,3,1,70,8,3,4,29,1,1825,17,2,6,3,12,4,1,1,4,9,2035,0,3,0,1,17,13,1,6,1,0,2139,0,23,4,16,8,32,7,27,7,9,1904,18,12,4,3,15,37,7,2,15,6,1993
(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2045,0,1,0,0,1,11,1,2,5,0,2324,8,1,1,0,1,3,0,4,10,9,2020,3,1,0,4,36,5,1,5,8,18,2083,0,24,2,9,23,4,2,11,0,0,1965,0,7,7,1,43,3,2,0,35,4,1819,21,0,3,11,7,0,0,0,2,6,2053,0,1,0,1,19,11,2,5,0,0,2142,1,20,9,8,9,34,7,21,8,4,1922,10,9,8,3,8,34,9,2,32,6,1983
2053,0,1,0,1,4,6,0,1,0,0,2327,6,1,1,0,0,3,1,3,11,5,2038,2,1,0,0,14,16,2,6,8,33,2045,0,32,2,10,29,11,2,7,0,0,1945,0,8,3,1,70,8,3,4,29,1,1825,17,2,6,3,12,4,1,1,4,9,2035,0,3,0,1,17,13,1,6,1,0,2139,0,23,4,16,8,32,7,27,7,9,1904,18,12,4,3,15,37,7,2,15,6,1993
