(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2051,0,0,0,0,0,13,1,0,1,0,2322,8,0,1,0,4,4,0,3,12,15,1995,3,1,1,8,48,5,1,1,11,11,2087,1,21,1,9,27,7,2,20,0,0,1948,1,10,9,0,46,2,1,1,35,4,1812,20,2,5,16,11,2,0,0,2,7,2047,0,0,0,1,31,8,1,6,0,0,2126,1,27,10,14,3,32,7,18,16,3,1913,16,7,8,3,15,27,11,1,36,7,1979
2048,1,1,0,1,6,9,0,0,0,0,2330,5,1,0,0,0,2,1,3,15,10,2013,3,1,2,5,23,15,2,2,10,25,2048,1,32,1,16,25,16,1,11,2,0,1943,0,12,2,0,65,7,7,0,25,2,1820,22,2,4,9,12,5,1,0,3,10,2035,0,3,0,1,22,11,0,6,2,0,2133,0,26,4,18,7,24,9,35,11,10,1895,19,9,4,5,20,25,7,3,25,7,1989
(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2051,0,0,0,0,0,13,1,0,1,0,2322,8,0,1,0,4,4,0,3,12,15,1995,3,1,1,8,48,5,1,1,11,11,2087,1,21,1,9,27,7,2,20,0,0,1948,1,10,9,0,46,2,1,1,35,4,1812,20,2,5,16,11,2,0,0,2,7,2047,0,0,0,1,31,8,1,6,0,0,2126,1,27,10,14,3,32,7,18,16,3,1913,16,7,8,3,15,27,11,1,36,7,1979
2048,1,1,0,1,6,9,0,0,0,0,2330,5,1,0,0,0,2,1,3,15,10,2013,3,1,2,5,23,15,2,2,10,25,2048,1,32,1,16,25,16,1,11,2,0,1943,0,12,2,0,65,7,7,0,25,2,1820,22,2,4,9,12,5,1,0,3,10,2035,0,3,0,1,22,11,0,6,2,0,2133,0,26,4,18,7,24,9,35,11,10,1895,19,9,4,5,20,25,7,3,25,7,1989
(0.0),(0.1),(0.2),(0.3),(0.4),(0.5),(0.6),(0.7),(0.8),(0.9),(1.0),(1.1),(1.2),(1.3),(1.4),(1.5),(1.6),(1.7),(1.8),(1.9),(2.0),(2.1),(2.2),(2.3),(2.4),(2.5),(2.6),(2.7),(2.8),(2.9),(3.0),(3.1),(3.2),(3.3),(3.4),(3.5),(3.6),(3.7),(3.8),(3.9),(4.0),(4.1),(4.2),(4.3),(4.4),(4.5),(4.6),(4.7),(4.8),(4.9),(5.0),(5.1),(5.2),(5.3),(5.4),(5.5),(5.6),(5.7),(5.8),(5.9),(6.0),(6.1),(6.2),(6.3),(6.4),(6.5),(6.6),(6.7),(6.8),(6.9),(7.0),(7.1),(7.2),(7.3),(7.4),(7.5),(7.6),(7.7),(7.8),(7.9),(8.0),(8.1),(8.2),(8.3),(8.4),(8.5),(8.6),(8.7),(8.8),(8.9),(9.0),(9.1),(9.2),(9.3),(9.4),(9.5),(9.6),(9.7),(9.8),(9.9)
2051,0,0,0,0,0,13,1,0,1,0,2322,8,0,1,0,4,4,0,3,12,15,1995,3,1,1,8,48,5,1,1,11,11,2087,1,21,1,9,27,7,2,20,0,0,1948,1,10,9,0,46,2,1,1,35,4,1812,20,2,5,16,11,2,0,0,2,7,2047,0,0,0,1,31,8,1,6,0,0,2126,1,27,10,14,3,32,7,18,16,3,1913,16,7,8,3,15,27,11,1,36,7,1979
2048,1,1,0,1,6,9,0,0,0,0,2330,5,1,0,0,0,2,1,3,15,10,2013,3,1,2,5,23,15,2,2,10,25,2048,1,32,1,16,25,16,1,11,2,0,1943,0,12,2,0,65,7,7,0,25,2,1820,22,2,4,9,12,5,1,0,3,10,2035,0,3,0,1,22,11,0,6,2,0,2133,0,26,4,18,7,24,9,35,11,10,1895,19,9,4,5,20,25,7,3,25,7,1989
